國字,注音,部首,型近字,同音國字,相似音國字,用詞
民,ㄇㄧㄣˊ,氏,氏;氓,,閔;泯;憫;皿;閩;抿;敏,人民;民眾;民主;民間;民國
對,ㄉㄨㄟˋ,寸,射;尊;封;尉,隊;敦;兌,兌;敦;隊;堆,對於;面對;絕對;對象;相對
兒,ㄦˊ,儿,克;充;兄;允;兇,而,餌;二;而;耳;邇;珥;洱;爾,兒童;兒子;女兒;幼兒;嬰兒
兒,ㄦ,儿,克;充;兄;允;兇,,餌;二;而;耳;邇;珥;洱;爾,花兒;這兒
日,ㄖˋ,日,白;曰,,斥,今日;日子;生日;日記;日常
之,ㄓ,丿,乏;么;,知;只;支;隻;織;枝;脂;汁;氏;肢;吱;芝;蜘;梔;胝,旨;侄;咫;擲;摭;識;幟;趾;指;酯;桎;志;稚;氏;忮;址;躓;質;脂;遲;置;鋕;執;炙;峙;織;蜘;雉;抵;徵;制;滯;汁;值;梔;吱;治;痔;職;隻;芷;枝;窒;止;秩;只;製;肢;支;蟄;致;緻;躑;胝;智;痣;祇;芝;知;至;摯;植;紙;祉;直;姪;殖;誌,之後;之前;總之;換言之;一席之地
文,ㄨㄣˊ,文,大,聞;紋;蚊;雯,紋;蚊;吻;穩;問;汶;溫;聞;塭;雯;瘟;紊,文化;文學;英文;文字;文章
文,ㄨㄣˋ,文,大,問;紊;汶,紋;蚊;吻;穩;問;汶;溫;聞;塭;雯;瘟;紊,文過飾非;文飾
當,ㄉㄤ,田,常;黨;堂;掌;賞;裳,噹;鐺;璫;襠,噹;蕩;宕;璫;黨;襠;擋;檔;盪;鐺,相當;當時;當然;當地;當年
當,ㄉㄤˋ,田,常;黨;堂;掌;賞;裳,盪;蕩;宕,噹;蕩;宕;璫;黨;襠;擋;檔;盪;鐺,當天;適當;恰當;當成;當做
當,ㄉㄤˇ,田,常;黨;堂;掌;賞;裳,黨;檔,噹;蕩;宕;璫;黨;襠;檔;盪;鐺,銳不可當
教,ㄐㄧㄠˋ,攴,哮;酵;孝,覺;校;叫;較;轎;窖;醮,澆;校;蛟;較;轎;腳;繳;絞;跤;覺;膠;餃;剿;僥;姣;矯;交;叫;筊;狡;醮;窖;鉸;嬌;嚼;焦;角;郊;蕉;皎;礁;驕;佼;椒;攪,教育;教學;教授;教師;教室
教,ㄐㄧㄠ,攴,哮;酵;孝,交;焦;膠;郊;嬌;驕;蕉;澆;椒;礁;蛟;跤,澆;校;蛟;較;轎;腳;繳;絞;跤;覺;膠;餃;剿;僥;姣;矯;交;叫;筊;狡;醮;窖;鉸;嬌;嚼;焦;角;郊;蕉;皎;礁;驕;佼;椒;攪,教書
新,ㄒㄧㄣ,斤,親;斯;斬,心;辛;欣;薪;馨;鑫;鋅;芯;莘,欣;芯;鋅;信;莘;鑫;釁;囟;馨;辛;心;薪,重新;新聞;全新;新生;創新
意,ㄧˋ,心,怎;念;思;息,義;易;議;食;藝;衣;異;施;益;射;憶;亦;譯;艾;疫;抑;毅;誼;翼;洩;溢;役;逸;億;曳;裔;泄;繹;奕;羿;翌;驛;懿;翳;屹;邑;瘞;挹;軼;蜴;囈;熠;臆;佚;佾;詣;劓;噫,艾;翳;矣;毅;詣;蛇;夷;一;逸;繹;沂;佚;移;貽;亦;易;咦;以;劓;臆;羿;藝;屹;噫;儀;食;溢;迤;蜴;痍;醫;遺;怡;施;胰;議;邑;翼;義;熠;懿;宜;誼;軼;佾;裔;乙;頤;譯;異;依;疑;蟻;翌;抑;蛾;瘞;飴;億;洩;倚;曳;彝;椅;漪;驛;挹;伊;姨;役;憶;泄;疫;囈;台;益;衣;揖;奕;已;咿;射,注意;意義;創意;意見;願意
情,ㄑㄧㄥˊ,心,清;精;請;睛;猜;晴,擎;晴,氫;清;慶;親;罄;晴;請;卿;蜻;磬;輕;頃;傾;青;擎,情況;情形;事情;心情;情緒
所,ㄙㄨㄛˇ,戶,近;析;折;欣;祈;沂,索;鎖;瑣,縮;挲;索;莎;瑣;梭;唆;鎖;些;簑;娑;嗦;蓑,所以;所有;所謂;所得;托兒所
實,ㄕˊ,宀,慣;貫;;宜;宣,時;什;十;提;石;食;拾;蝕,世;勢;適;識;濕;柿;拭;事;屎;蝕;獅;溼;匙;氏;筮;軾;十;始;侍;時;拾;誓;失;使;釋;蝨;嗜;室;示;是;史;詩;什;飾;士;噬;食;屍;提;尸;豕;仕;師;石;矢;逝;試;恃;市;施;駛;舐;視;式,事實;其實;實際;實在;實施
工,ㄍㄨㄥ,工,土;士,公;紅;功;共;供;宮;攻;恭;躬;弓;龔;觥;蚣,弓;觥;恭;鞏;共;紅;供;栱;公;龔;拱;躬;貢;宮;攻;蚣;功,工作;員工;工程;工業;工廠
全,ㄑㄩㄢˊ,入,金;主,權;泉;卷;拳;詮;銓;痊;蜷;鬈;荃,犬;鬈;蜷;銓;泉;勸;痊;券;圈;荃;詮;權;卷;拳,安全;完全;全國;全球;全部
定,ㄉㄧㄥˋ,宀,家;安;完;容,訂;釘;碇,鼎;碇;盯;訂;丁;叮;町;酊;釘;頂;仃,一定;決定;規定;肯定;確定
美,ㄇㄟˇ,羊,羔;羌;羊,每;鎂,魅;嵋;昧;眉;梅;霉;沒;玫;妹;寐;每;鎂;楣;媚;莓;黴;媒;煤;袂;湄;枚,美元;美麗;完美;美好;美術
理,ㄌㄧˇ,玉,埋;哩;鯉;狸;俚;浬;娌,裡;里;李;禮;哩;鯉;俚;邐;浬;醴;蠡,痢;狸;梨;灕;荔;浬;慄;瀝;邐;莉;蠡;戾;籬;礪;璃;歷;俐;立;蠣;蒞;儷;曆;吏;癘;靂;黎;釐;里;醴;俚;鯉;離;礫;驪;唳;麗;李;勵;禮;利;犛;隸;罹;壢;栗;琍;犁;力;例;裡;厲;粒;笠;漓;哩;鸝,管理;處理;心理;理想;總經理
頭,ㄊㄡˊ,頁,短;逗;領;預,投;骰,偷;投;骰;透,頭髮;鏡頭;街頭;頭痛
頭,˙ㄊㄡ,頁,短;逗;領;預,,偷;投;骰;透,石頭;舌頭;念頭;木頭;碼頭
本,ㄅㄣˇ,木,木;未,畚;苯,畚;笨;奔;坌;苯;賁,基本;成本;根本;本身;原本
明,ㄇㄧㄥˊ,日,朋;昧;旺;昭,名;鳴;銘;冥;茗;暝;酩;瞑,茗;酩;名;冥;瞑;鳴;銘;命;暝,說明;明顯;明年;證明;明天
氣,ㄑㄧˋ,气,氧;氫;氯;屎,器;企;汽;妻;棄;契;泣;緝;迄;砌;憩;亟;磧;訖;葺,訖;棋;崎;企;淒;磧;憩;緝;祈;豈;七;期;綺;棲;臍;器;棄;耆;漆;騎;沏;鰭;萋;畦;薺;契;其;迄;齊;砌;旗;祁;蘄;戚;枝;汽;奇;歧;亟;妻;起;啟;祇;祺;稽;杞;欺;琦;淇;泣;麒;乞;琪;悽;錡;葺,景氣;空氣;氣氛;氣門;天氣
進,ㄐㄧㄣˋ,辵,推;維;誰;唯,近;盡;禁;晉;浸;燼;噤;覲;縉,巾;禁;瑾;縉;襟;今;饉;謹;金;矜;僅;斤;觔;噤;近;覲;盡;筋;燼;晉;津;緊;浸;錦;儘;衿,進行;進入;進口;進步;引進
樣,ㄧㄤˋ,木,漾;機;權;樓,養;漾;恙;怏,楊;怏;央;瘍;烊;羊;鴦;佯;養;秧;泱;洋;殃;揚;煬;陽;漾;徉;氧;恙;癢;仰;颺,一樣;這樣;同樣;怎樣;那樣
都,ㄉㄨ,邑,緒;諸;赭;部,督;嘟,堵;肚;犢;瀆;渡;毒;睹;讀;牘;賭;嘟;鍍;度;頓;篤;獨;妒;杜;蠹;督,都市;都會;首都;都市計畫;京都
主,ㄓㄨˇ,丶,王;玉,屬;煮;矚;囑;貯;拄;渚;枓,豬;煮;佇;珠;諸;築;助;粥;硃;株;注;箸;茱;鑄;朱;矚;躅;住;駐;屬;枓;櫫;渚;筑;銖;貯;著;竺;蛀;藷;柱;逐;竹;誅;燭;囑;祝;蛛;註;拄;侏,主要;民主;主管;主題;主人
間,ㄐㄧㄢ,門,閒;閃;閉;闆,堅;監;尖;肩;兼;艱;煎;濺;奸;箋;緘;姦;菅;殲;縑,漸;瞼;艱;緘;繭;柬;檢;檻;殲;尖;肩;縑;奸;劍;毽;趼;剪;揀;鍵;鑑;澗;煎;監;諫;健;荐;踐;兼;建;僭;濺;堅;減;鑒;鹼;見;箋;箭;囝;賤;薦;簡;菅;艦;餞;腱;撿;件;儉;筧;姦,時間;空間;民間;期間;房間
間,ㄐㄧㄢˋ,門,閒;閃;閉;闆,見;建;件;健;漸;監;鍵;鑑;箭;劍;踐;薦;賤;艦;荐;濺;毽;檻;澗;諫;鑒;餞;腱;僭,漸;瞼;艱;緘;繭;柬;檢;檻;殲;尖;肩;縑;奸;劍;毽;趼;剪;揀;鍵;鑑;澗;煎;監;諫;健;荐;踐;兼;建;僭;濺;堅;減;鑒;鹼;見;箋;箭;囝;賤;薦;簡;菅;艦;餞;腱;撿;件;儉;筧;姦,間接;間隔;間斷;相間;間歇泉
老,ㄌㄠˇ,老,者;考;耆,佬;姥;潦;荖,姥;烙;牢;嘮;荖;勞;潦;落;佬;絡;撈,老師;老人;老闆;古老;老婆
想,ㄒㄧㄤˇ,心,箱;廂;霜;態,響;享;饗;餉,祥;橡;象;項;嚮;羊;餉;像;享;饗;相;降;詳;響;襄;鄉;廂;香;翔;箱;庠;湘;鑲;巷;向,理想;思想;想像;想法;夢想
重,ㄓㄨㄥˋ,里,里;量,中;種;眾;仲,冢;塚;鍾;衷;鐘;腫;忠;眾;終;種;中;仲;忪;踵,重要;嚴重;重視;重大;尊重
重,ㄔㄨㄥˊ,里,里;量,蟲;崇,忡;沖;崇;舂;衝;充;蟲;寵;憧,重新;重建;重複;重返;重現
體,ㄊㄧˇ,骨,禮;醴;髒;髓,,嚏;屜;剔;弟;提;悌;啼;涕;題;替;踢;惕;剃;蹄;醍;堤;梯,身體;媒體;團體;整體;人體
山,ㄕㄢ,山,出;凸,扇;珊;衫;杉;刪;姍;煽;跚;搧;舢;潸;羶,姍;膳;禪;搧;跚;煽;陝;擅;閃;繕;扇;杉;潸;羶;珊;善;鱔;鄯;撣;刪;疝;舢;單;衫;汕;訕,登山;火山;高山;玉山;山坡地
物,ㄨˋ,牛,吻;特;牠;牲,務;惡;誤;悟;霧;塢;勿;晤;兀;騖;鶩;戊,汙;嗚;鶩;惡;吳;務;嫵;摀;誤;蜈;梧;戊;忤;武;鵡;霧;屋;勿;午;伍;五;亡;於;悟;毋;污;鼯;侮;巫;無;吾;晤;唔;舞;騖;蕪;誣;塢;捂;烏;兀,動物;人物;食物;生物;植物
知,ㄓ,矢,加;扣;短;釦,之;只;支;隻;織;枝;脂;汁;氏;肢;吱;芝;蜘;梔;胝,旨;侄;咫;擲;摭;識;幟;趾;指;酯;桎;志;稚;氏;忮;址;躓;質;脂;遲;置;鋕;執;炙;峙;織;之;蜘;雉;抵;徵;制;滯;汁;值;梔;吱;治;痔;職;隻;芷;枝;窒;止;秩;只;製;肢;支;蟄;致;緻;躑;胝;智;痣;祇;芝;至;摯;植;紙;祉;直;姪;殖;誌,知道;知識;知名;認知;知識分子
手,ㄕㄡˇ,手,把;提;接;打,首;守,瘦;授;狩;收;受;熟;首;壽;獸;售;守,手術;選手;對手;手法;手段
相,ㄒㄧㄤ,目,林;休;想,香;鄉;箱;廂;鑲;襄;湘,祥;橡;象;項;嚮;羊;想;餉;像;享;饗;降;詳;響;襄;鄉;廂;香;翔;箱;庠;湘;鑲;巷;向,相當;相信;相同;相關;相對
相,ㄒㄧㄤˋ,目,林;休;想,像;向;象;項;巷;嚮;橡,祥;橡;象;項;嚮;羊;想;餉;像;享;饗;降;詳;響;襄;鄉;廂;香;翔;箱;庠;湘;鑲;巷;向,亮相;相聲;相片;真相;相機
回,ㄏㄨㄟˊ,囗,四;困;固;囚,迴;蛔;洄,蕙;惠;輝;暉;灰;恢;誨;迴;彗;穢;洄;燬;揮;諱;賄;會;晦;蛔;薈;匯;徽;毀;彙;喙;慧;悔;卉;繪,回家;回來;回收;回答;回憶
性,ㄒㄧㄥˋ,心,姓;牲;快;怕,行;興;幸;姓;倖;杏;悻,興;省;猩;腥;醒;型;幸;行;刑;邢;杏;擤;惺;形;悻;姓;倖;星,女性;性能;男性;特性;人性
果,ㄍㄨㄛˇ,木,杲;朱;杳;朱,裹;粿,鍋;裹;渦;粿;過;摑;幗;國;郭,如果;結果;效果;成果;果然
政,ㄓㄥˋ,攴,征;怔;放;收,正;證;症;鄭;掙,掙;拯;證;箏;諍;錚;正;怔;爭;蒸;征;崢;鄭;症;癥;徵;整;睜,政府;政治;政策;執政黨;行政
只,ㄓˇ,口,合;古;各,指;止;紙;徵;抵;址;旨;祇;趾;咫;祉;芷;酯,旨;侄;咫;擲;摭;識;幟;趾;指;酯;桎;志;稚;氏;忮;址;躓;質;脂;遲;置;鋕;執;炙;峙;織;之;蜘;雉;抵;徵;制;滯;汁;值;梔;吱;治;痔;職;隻;芷;枝;窒;止;秩;製;肢;支;蟄;致;緻;躑;胝;智;痣;祇;芝;知;至;摯;植;紙;祉;直;姪;殖;誌,只有;只是;只要;只能;只好
此,ㄘˇ,止,頃;歧;比,,茨;次;雌;辭;茲;荖;差;疵;祠;磁;刺;詞;瓷;慈;伺,因此;如此;此外;彼此;從此
代,ㄉㄞˋ,人,依;仍;伐;佚,大;帶;待;袋;戴;貸;黛;逮;殆;岱;怠;迨,呆;獃;岱;殆;怠;袋;貸;戴;逮;待;大;迨;黛;歹;帶,時代;年代;現代;代表;取代
和,ㄏㄜˊ,口,利;唸;吱;咱,合;何;河;核;荷;盒;渴;褐;闔;禾;閤;紇;涸;閡;劾,紇;涸;閤;赫;閡;合;訶;河;劾;喝;褐;闔;盒;渴;荷;鶴;何;禾;賀;嚇;核;呵,和平;和諧;溫和;和尚;耶和華
和,˙ㄏㄨㄛ,口,利;唸;吱;咱,午,貨;豁;活;霍;穫;壑;伙;禍;惑;鑊;午;夥;火;獲;或,暖和
和,ㄏㄜˋ,口,利;唸;吱;咱,喝;荷;嚇;賀;赫;鶴,紇;涸;閤;赫;閡;合;訶;河;劾;喝;褐;闔;盒;渴;荷;鶴;何;禾;賀;嚇;核;呵,附和;曲高和寡;應和
和,ㄏㄨㄛˋ,口,利;唸;吱;咱,或;獲;貨;禍;惑;霍;穫;豁;壑;鑊,貨;豁;活;霍;穫;壑;伙;禍;惑;鑊;午;夥;火;獲;或,攪和
活,ㄏㄨㄛˊ,水,話;括;聒;恬,,貨;豁;霍;穫;壑;伙;禍;和;惑;鑊;午;夥;火;獲;或,生活;活動;靈活;活潑;活力
媽,ㄇㄚ,女,嗎;碼;瑪;螞,,螞;嗎;麼;罵;嘛;痲;碼;馬;蟆;麻;瑪,媽祖;媽咪;阿媽;姨媽
親,ㄑㄧㄣ,見,觀;視;規;覦,侵;欽,沁;秦;覃;寢;噙;禽;擒;欽;侵;勤;琴;芹,父親;母親;親自;親友;親愛
親,ㄑㄧㄥˋ,見,觀;視;規;覦,慶;磬;罄,氫;清;慶;罄;晴;請;卿;蜻;磬;輕;頃;傾;青;擎;情,親家
化,ㄏㄨㄚˋ,匕,北;匙,話;畫;華;劃;樺,華;划;豁;劃;話;畫;猾;花;樺;滑;譁;嘩,文化;變化;現代化;消化;惡化
化,ㄏㄨㄚ,匕,北;匙,花;華;嘩,華;划;豁;劃;話;畫;猾;花;樺;滑;譁;嘩,叫化子
加,ㄐㄧㄚ,力,扣;釦;功;助;,家;佳;嘉;傢;茄;迦;伽;枷;痂;珈;笳;葭,葭;價;迦;嫁;夏;蛺;戛;佳;珈;稼;駕;家;傢;架;笳;茄;枷;嘉;鉀;賈;痂;岬;頰;甲;袷;胛;夾;伽;假;舺,增加;參加;加強;加入;加速
影,ㄧㄥˇ,彡,憬;形;彩;彰,景;穎;潁,螢;贏;蠅;塋;營;穎;嚶;鸚;映;應;景;楹;櫻;鶯;瀛;膺;纓;潁;硬;英;迎;縈;瑩;瑛;嬰;鷹;嬴;罌;盈,電影;影響;影片;影像;攝影
什,ㄕㄣˊ,人,計;針;汁;保,神;甚,身;審;沈;蜃;甚;滲;紳;申;慎;嬸;葚;參;腎;莘;瀋;呻;伸;神;深;娠,什麼;為什麼;幹什麼;算什麼
身,ㄕㄣ,身,寸;才,深;參;伸;申;紳;呻;娠;莘,審;沈;蜃;甚;什;滲;紳;申;慎;嬸;葚;參;腎;莘;瀋;呻;伸;神;深;娠,身體;車身;本身;身上;全身
己,ㄐㄧˇ,己,已;巴;巷,幾;給;濟;擠;脊;戟,即;績;棋;暨;薊;激;畿;驥;璣;籍;饑;其;忌;肌;笈;吉;既;唧;機;濟;亟;基;疾;屐;冀;寂;稽;藉;及;輯;乩;寄;蹐;季;革;擠;棘;記;覬;畸;鶺;繼;期;譏;給;躋;汲;鯽;嘰;祭;脊;岌;幾;箕;積;跡;薺;蹟;極;齊;吃;擊;際;級;犄;楫;紀;雞;奇;几;伎;羈;髻;妓;急;瘠;磯;計;嫉;戟;繫;劑;技;悸;姬;集;飢,自己;知己;異己;身不由己;自己人
灣,ㄨㄢ,水,海;流;清;滿,彎;蜿;豌,挽;莞;宛;烷;晚;彎;腕;萬;碗;頑;浣;蜿;玩;丸;琬;綰;婉;輓;豌;完;娩;惋,臺灣;臺灣省;南臺灣;海灣;臺灣海峽
機,ㄐㄧ,木,磯;譏;饑;嘰;璣,其;期;幾;基;奇;積;激;雞;績;跡;肌;棋;蹟;飢;磯;稽;畸;姬;几;譏;饑;箕;羈;屐;犄;嘰;乩;璣;躋;畿,即;績;棋;暨;薊;激;畿;驥;璣;籍;饑;其;忌;肌;笈;吉;既;唧;濟;亟;基;疾;屐;冀;寂;稽;藉;及;輯;乩;寄;蹐;季;革;擠;棘;記;覬;畸;鶺;繼;期;譏;給;躋;汲;鯽;嘰;祭;脊;岌;幾;箕;積;跡;薺;蹟;極;齊;吃;擊;際;級;犄;楫;紀;雞;奇;几;己;伎;羈;髻;妓;急;瘠;磯;計;嫉;戟;繫;劑;技;悸;姬;集;飢,機會;機構;危機;飛機;機器
部,ㄅㄨˋ,邑,培;陪;倍;賠;菩;剖;焙;醅,不;步;布;佈;怖;簿;埠,補;捕;逋;哺;埠;怖;布;卜;佈;步;簿;不,部分;全部;內部;部門;大部分
常,ㄔㄤˊ,巾,黨;堂;掌;賞;裳,長;腸;嘗;償;倘;裳;嫦;嚐;徜,嫦;猖;倡;倘;長;昌;嚐;徜;腸;唱;暢;場;敞;娼;嘗;廠;裳;悵;償;氅,非常;通常;正常;平常
見,ㄐㄧㄢˋ,見,其;覺,間;建;件;健;漸;監;鍵;鑑;箭;劍;踐;薦;賤;艦;荐;濺;毽;檻;澗;諫;鑒;餞;腱;僭,漸;瞼;艱;緘;繭;柬;檢;檻;殲;尖;間;肩;縑;奸;劍;毽;趼;剪;揀;鍵;鑑;澗;煎;監;諫;健;荐;踐;兼;建;僭;濺;堅;減;鑒;鹼;箋;箭;囝;賤;薦;簡;菅;艦;餞;腱;撿;件;儉;筧;姦,看見;意見;再見;見到;常見
其,ㄑㄧˊ,八,見;公;共;具,期;奇;齊;旗;枝;棋;騎;歧;祈;淇;祇;琦;崎;琪;臍;畦;耆;錡;鰭;麒;蘄;薺;祺;祁,訖;棋;崎;企;淒;磧;憩;緝;祈;豈;七;期;綺;棲;臍;氣;器;棄;耆;漆;騎;沏;鰭;萋;畦;薺;契;迄;齊;砌;旗;祁;蘄;戚;枝;汽;奇;歧;亟;妻;起;啟;祇;祺;稽;杞;欺;琦;淇;泣;麒;乞;琪;悽;錡;葺,其他;其中;其實;尤其;其次
正,ㄓㄥˋ,止,止;壬,政;證;症;鄭;掙,掙;拯;證;箏;諍;錚;怔;爭;蒸;征;崢;政;鄭;症;癥;徵;整;睜,真正;正式;正確;正常;正是
正,ㄓㄥ,止,止;壬,爭;徵;蒸;掙;箏;征;睜;怔;癥;諍;錚;崢,掙;拯;證;箏;諍;錚;怔;爭;蒸;征;崢;政;鄭;症;癥;徵;整;睜,正月;賀正;正旦;正朔
世,ㄕˋ,一,也;且,是;事;市;式;視;示;識;士;勢;室;試;適;釋;飾;氏;逝;侍;誓;仕;拭;嗜;柿;恃;噬;軾;舐;筮,勢;適;識;濕;柿;拭;事;屎;蝕;獅;溼;匙;氏;筮;軾;十;始;侍;時;拾;誓;失;使;釋;蝨;嗜;室;示;實;是;史;詩;什;飾;士;噬;食;屍;提;尸;豕;仕;師;石;矢;逝;試;恃;市;施;駛;舐;視;式,世界;世紀;世人;全世界;去世
北,ㄅㄟˇ,匕,比;匙,,盃;杯;狽;卑;被;貝;悖;碑;背;埤;備;焙;倍;輩;蓓;憊;悲;揹,臺北市;北方;北部
女,ㄋㄩˇ,女,夭;方,,呂,女性;女人;婦女;女兒;子女
花,ㄏㄨㄚ,艸,英;苦;草;葉,化;華;嘩,華;划;豁;劃;話;畫;猾;化;樺;滑;譁;嘩,花園;花費;花朵;花錢;花蓮縣
合,ㄏㄜˊ,口,會;台;召,和;何;河;核;荷;盒;渴;褐;闔;禾;閤;紇;涸;閡;劾,紇;涸;閤;赫;閡;訶;河;劾;喝;褐;闔;盒;渴;荷;鶴;和;何;禾;賀;嚇;核;呵,合作;配合;結合;適合;合理
場,ㄔㄤˇ,土,陽;揚;楊;湯;腸;煬,廠;敞;氅,嫦;猖;倡;倘;長;昌;嚐;徜;腸;唱;暢;常;敞;娼;嘗;廠;裳;悵;償;氅,市場;登場;現場;立場;機場
海,ㄏㄞˇ,水,梅;敏;悔;侮;晦;誨,,亥;骸;咳;駭;還;害;孩,海外;海洋;海水;海報
者,ㄓㄜˇ,老,魯;耆;沓;考,赭;褶,懾;螫;摺;赭;謫;著;浙;遮;這;輒;鷓;轍;褶;折;哲;蔗,業者;患者;讀者;消費者;學者
表,ㄅㄧㄠˇ,衣,裝;製;袋;裴,錶;裱;婊,標;裱;錶;飆;鑣;鏢;婊;彪;杓,表現;表示;代表;表演;發表
問,ㄨㄣˋ,口,聞;悶;間,文;紊;汶,紋;蚊;文;吻;穩;汶;溫;聞;塭;雯;瘟;紊,問題;訪問;顧問;請問;疑問
立,ㄌㄧˋ,立,上;壬,力;利;歷;例;麗;勵;厲;粒;曆;莉;栗;隸;吏;俐;礫;靂;笠;痢;慄;瀝;儷;荔;戾;蒞;壢;蠣;唳;琍;癘;礪,痢;狸;梨;灕;荔;浬;慄;瀝;邐;莉;蠡;戾;籬;礪;璃;歷;俐;蠣;蒞;儷;曆;吏;癘;靂;黎;釐;里;醴;俚;鯉;離;礫;驪;唳;麗;李;勵;禮;利;犛;隸;罹;壢;栗;琍;犁;力;例;裡;理;厲;粒;笠;漓;哩;鸝,成立;建立;立委;獨立;立即
西,ㄒㄧ,襾,丙;兩;再,希;吸;析;溪;稀;悉;攜;犧;棲;膝;嘻;犀;晰;蜥;釐;熙;撕;禧;蟋;曦;兮;嬉;烯;淅;蹊;奚;皙;谿;羲;唏;熹;螅;欷;樨,蜥;洗;蓆;隰;嘻;犀;禧;吸;唏;隙;兮;棲;螅;席;錫;冼;襲;熙;膝;曦;系;奚;悉;夕;喜;璽;矽;溪;係;釐;晰;谿;細;皙;昔;希;徙;蹊;樨;熄;惜;息;汐;攜;撕;稀;熹;烯;戲;繫;析;嬉;羲;欷;犧;習;媳;蟋;翕;淅,東西;西方;西元;西瓜;西洋
還,ㄏㄨㄢˊ,辵,環;通;選;運,環;寰;桓;圜;鬟,患;喚;鬟;緩;圜;渙;幻;瘓;奐;煥;桓;環;換;宦;歡;寰,還原;償還;討價還價;歸還;送還
還,ㄏㄞˊ,辵,環;通;選;運,孩;骸,亥;海;骸;咳;駭;害;孩,還有;還是;還好;還未;還早
最,ㄗㄨㄟˋ,冂,冕,罪;醉;蕞,罪;蕞;嘴;醉,最後;最初;最佳拍檔;最好;最近
感,ㄍㄢˇ,心,箴;應;憊,趕;敢;桿;橄;稈,趕;竿;橄;幹;干;尷;稈;敢;甘;乾;肝;桿;疳;杆;贛;柑,感覺;感染;感受;感情;感謝
告,ㄍㄠˋ,口,先;含;召;右,,睪;搞;篙;稿;咎;高;膏;羔;糕;槁,廣告;告訴;報告;廣告人;公告
度,ㄉㄨˋ,广,庶;床;序,渡;杜;肚;妒;鍍;蠹,堵;肚;犢;瀆;渡;毒;睹;讀;牘;賭;嘟;鍍;都;頓;篤;獨;妒;杜;蠹;督,制度;速度;態度;程度;角度
光,ㄍㄨㄤ,儿,肖;兄;兔;允,胱,獷;逛;廣;胱,陽光;觀光;光明;風光;眼光
點,ㄉㄧㄢˇ,黑,站;貼;黏;佔;沾;粘;帖;拈;玷,典,佃;殿;癲;靛;惦;玷;電;店;巔;墊;甸;澱;典;奠;滇;顛,觀點;地點;重點;焦點;優點
色,ㄙㄜˋ,色,兔;免,塞;圾;瑟;澀;嗇,塞;圾;瑟;澀;嗇,角色;特色;色彩;顏色;白色
種,ㄓㄨㄥˇ,禾,衝;腫;鍾;踵,腫;踵;塚;冢,冢;塚;鍾;衷;重;鐘;腫;忠;眾;終;中;仲;忪;踵,各種;車種;種類;種子
種,ㄓㄨㄥˋ,禾,衝;腫;鍾;踵,中;重;眾;仲,冢;塚;鍾;衷;重;鐘;腫;忠;眾;終;中;仲;忪;踵,接種;種植;耕種;種花;種田
少,ㄕㄠˇ,小,小;尖,,捎;紹;召;邵;劭;哨;梢;勺;韶;燒;稍;芍;杓,減少;多少;至少;少數;缺少
少,ㄕㄠˋ,小,小;尖,紹;召;哨;邵;捎;劭,捎;紹;召;邵;劭;哨;梢;勺;韶;燒;稍;芍;杓,青少年;少年;少女;少棒;青少棒
風,ㄈㄥ,風,鳳;颱,豐;封;峰;瘋;鋒;蜂;楓;烽;丰,諷;鋒;蜂;鳳;峰;丰;縫;豐;封;烽;楓;俸;奉;馮;逢;瘋,風格;風險;風光;風箏;風氣
資,ㄗ,貝,姿;瓷;恣;咨,滋;齊;姿;茲;諮;孜;髭;貲;孳;錙,漬;齊;姿;訾;諮;紫;貲;梓;恣;孳;籽;錙;茲;滓;自;字;仔;滋;子;髭;姊;孜,投資;資金;資料;資源;資訊
她,ㄊㄚ,女,池;馳;弛,他;它;牠;塌;祂,遢;嗒;牠;沓;榻;蹋;拓;躂;撻;獺;他;祂;塔;踏;它;塌,妹妹她們
期,ㄑㄧˊ,月,斯;棋;欺;淇;琪;麒;祺,其;奇;齊;旗;枝;棋;騎;歧;祈;淇;祇;琦;崎;琪;臍;畦;耆;錡;鰭;麒;蘄;薺;祺;祁,訖;棋;崎;企;淒;磧;憩;緝;祈;豈;七;綺;棲;臍;氣;器;棄;耆;漆;騎;沏;鰭;萋;畦;薺;契;其;迄;齊;砌;旗;祁;蘄;戚;枝;汽;奇;歧;亟;妻;起;啟;祇;祺;稽;杞;欺;琦;淇;泣;麒;乞;琪;悽;錡;葺,長期;時期;期間;星期;早期
利,ㄌㄧˋ,刀,酥;別;切;刻,力;立;歷;例;麗;勵;厲;粒;曆;莉;栗;隸;吏;俐;礫;靂;笠;痢;慄;瀝;儷;荔;戾;蒞;壢;蠣;唳;琍;癘;礪,痢;狸;梨;灕;荔;浬;慄;瀝;邐;莉;蠡;戾;籬;礪;璃;歷;俐;立;蠣;蒞;儷;曆;吏;癘;靂;黎;釐;里;醴;俚;鯉;離;礫;驪;唳;麗;李;勵;禮;犛;隸;罹;壢;栗;琍;犁;力;例;裡;理;厲;粒;笠;漓;哩;鸝,利用;利益;利率;獲利;利潤
保,ㄅㄠˇ,人,使;何;但;信,寶;飽;堡;褓;葆,報;炮;豹;葆;胞;抱;苞;爆;寶;孢;暴;褓;雹;刨;堡;褒;飽;鮑;包,環保;保護;保持;保險;保障
